MAC
KMT
KMI
SLF
PEG
IPGP
HCA
BMRN
CCMP
ENTG
PSEC
JSM
SSL
HSIC
DAL
WTR
HES
MHK
BGNE
IVZ
TS
IDCC
JHX
AVT
BCE
SINA
CTSH
CBD
UNVR
X
YUM
ALXN
JWN
AEL
LYB
WF
TARO
FISV
ARE
PKX
HIW
PEP
A
REGN
HRS
VMI
HAL
OSB
CMCSA
XPO
AMGN
SQM
BSMX
DNKN
ANDX
K
CLX
HST
COLB
CNC
EPR
DE
VER
SATS
IBOC
JPM
HPT
HQY
ADS
ARCC
WWW
B
SUI
AMOV
NDSN
BBY
MMM
SSD
TCP
FE
PODD
WCN
TD
AWI
NMR
NATI
MS
SNV
MSM
RCL
DOC
BAK
XEL
CHFC
AGNC
MRK
PLNT
DKS
KSU
ASB
NVO
MCY
MRCY
CBS
S
OLN
CHGG
DOV
HCP
CBU
MASI
AWR
L
FOXF
ASND
AEB
ABC
FDC
WMT
CMI
NEU
QLYS
AJG
QGEN
MPC
BBVA
ONB
MTD
GIS
PFG
DUK
BEP
MTG
NGG
GDDY
PAA
CNA
APLE
TWOU
CHU
WPP
GLPG
PG
TSG
LEG
DPZ
CBPO
SPR
REG
GSH
MDP
CATY
CI
NOMD
HAE
TSM
APH
HI
RY
SWX
SKX
TRQ
ZAYO
FAST
ARRY
DLTR
AQN
ORI
CW
IAC
SRCL
WELL
GWW
PTEN
BCH
BMO
TDG
INTU
HDS
ENB
NTAP
SNX
ASH
VAR
RHI
CBT
CDW
WIX
SEIC
HCM
G
AMN
WRK
BC
ICL
ZION
EXPO
CLF
BCO
JCOM
TCF
BCPC
ZTS
AMP
HII
FULT
WBA
KKR
SR
FNV
VRSK
PBB
LSI
FITB
LEA
EPD
LH
DG
EXC
DXC
IONS
SPG
HOMB
CYBR
ADP
SNE
MAN
RELX
AU
TSS
SABR
INCY
UDR
VNO
RDN
MKL
NWS
ETFC
SWKS
AZN
HUN
FGEN
VLY
LAMR
UBS
URI
UN
SIVB
ATR
AGIO
FTI
GS
LOGM
ODFL
NSC
LNT
APD
NSP
PHG
AKAM
GMED
ESLT
TPL
STL
CNI
CME
ET
TWTR
STAY
STN
SON
DATA
MANH
CL
BXMT
MIDD
PFE
NOV
TRMB
BBD
EC
EXEL
ATVI
PH
EGP
BAC
IMMU
W
EME
IRM
ALB
TFSL
AEO
CPB
ESGR
SYMC
NFLX
MOMO
MUSA
TAL
GRFS
STX
CVI
VIA
NCR
PKI
SYF
WHR
NFG
TREX
PWR
AR
ENIA
INXN
PANW
KB
SCI
BKH
NDAQ
WIT
UNIT
TRCO
CBRL
YPF
ETN
JD
GIL
ALK
CCU
DTE
AJRD
SEE
ABBV
DFS
WST
VZ
CDK
ETR
CTLT
DISH
CASY
CAJ
MLCO
CLGX
TTM
IHG
JNPR
DVA
AMAT
F
MET
MSCI
WES
ANSS
KOF
FOX
ROP
FII
AON
FIVN
YNDX
SGEN
WTM
TSN
BRO
WRB
ARMK
PCG
PGRE
AVX
CHTR
NKE
PNM
HGH
CHT
WSM
PRLB
NBL
MTCH
XRX
E
CVX
ACGL
HTA
WBS
NLSN
MCK
SBAC
GWPH
UTX
CMA
BWA
LLL
SKM
GPC
WBC
NLY
HHC
HD
FCN
SPLK
DHR
PLD
CRM
PVH
DLB
BURL
CVBF
GEO
CFX
MLM
STE
RNR
NRZ
VMW
HE
CXP
RHP
BSAC
TQQQ
NEP
HLT
HBAN
UMPQ
BSM
CVE
XRAY
ETSY
HON
MGP
PNFP
PUK
STT
SNPS
HDB
LUV
SQ
CTAS
LII
XLNX
ESS
MKC
KMB
LHCG
CHD
TEL
GHDX
OC
VIAV
TRI
VEEV
SHOP
RHT
OZK
CB
IT
CHA
MPW
CHE
AA
SAVE
PXD
PSB
CIEN
HUM
FCAU
GGB
SCHW
PGR
ISBC
KAR
VEDL
CFG
DLR
SNY
COF
NEWR
RYAAY
FFBC
DAR
ERIC
TRU
ITUB
LYV
NCLH
AGN
BHGE
INGR
NOK
EIX
CAG
ICLR
HOLX
PAGP
CMG
KRC
ROK
BMY
RPAI
GWRE
KW
GRA
RP
PRAH
HRC
WWE
SAN
ACB
CCL
CEA
CVLT
AIY
AGO
APU
KEP
VTR
NBIX
IDXX
BDN
ANET
BOH
HEI
CRI
WTFC
WAT
VNOM
NWE
AEM
VRNT
PJH
CTRP
HXL
MMYT
KEX
TLK
LRCX
ABEV
FMS
UMC
SHW
MMP
BERY
WEX
PKG
IEX
WPC
AABA
BLL
VOD
BOX
EXR
TKC
ACC
BG
ROST
RTN
AMCX
STM
SHLX
AVAL
FRC
HAS
BXS
CNK
FAF
D
BAP
BXP
PSO
WLK
QCOM
HP
BKU
RCI
DVN
NOW
SBS
MXIM
FL
Z
CHKP
TRN
POST
MCD
EWBC
PEB
AMTD
PTC
BCS
EMR
MPLX
CSX
DCP
TEVA
EBR
OGE
CNP
CIM
PAG
PINC
LECO
HMC
AYI
TNET
ICPT
EL
ZNH
UA
TYL
FNB
RACE
ZEN
GNTX
MOH
SCCO
SERV
NEOG
AFL
KNX
SJR
MAS
ANTM
THG
IART
BLK
CFR
STOR
ORA
NVS
NYCB
FMC
PRGO
PSXP
HZNP
VEON
TV
AME
MDT
NI
VIV
BLUE
WAL
FDS
HBI
O
BB
SJI
BOKF
CSGP
NAV
STWD
CHDN
JJSF
ITGR
BPL
HELE
WMB
ADSK
LFC
AGR
PE
ATGE
